date,trading_days,portfolio_value,starting_value,ending_value,starting_cash,ending_cash,returns,algorithm_period_return,benchmark_period_return,realized_pnl,pnl,long_value,short_value,long_margin,short_margin,cancel_times,trade_times,profit_count,loss_count,win_percent,pnl_ratio,longs_count,shorts_count,net_leverage,gross_leverage,max_leverage,capital_used,today_buy_balance,today_sell_balance,commission,capital_changed,orders,transactions,positions,POS_FAC,TRA_FAC,LOG,benchmark_returns
2017-11-29,1,100000.0,0.0,0.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[{'id': '', 'order_time': '15:00:00', 'dt': datetime.datetime(2017, 11, 30, 15, 0), 'created': datetime.datetime(2017, 11, 29, 15, 0), 'symbol': 'BTCUSD', 'amount': 10, 'filled': 0, 'price': 9892.35, 'name': '', 'direction': '1', 'offset_display': 'OPEN', 'offset': '0', 'order_status': GENERATED(10), 'status': 'not place', 'limit': None, 'multiplier': 1}]",[],[],{},{'LOG': []},"[{'level': 'INFO', 'msg': 'order[15:00:00][id:,BTCUSD BUYOPEN 10@9892.35, U]', 'dt': '2017-11-29 15:00:00'}]",0.0
2017-11-30,2,99804.49,0.0,97753.0,100000.0,2051.49,-0.0019550999999999475,-0.0019550999999999475,-0.011755427914710848,0.0,-195.50999999999476,97753.0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,1,0,0.9794449127489153,0.9794449127489153,0.9794449127489153,-97948.51,97753.0,0.0,195.51,0.0,"[{'symbol': 'BTCUSD', 'id': '201711290001', 'dt': datetime.datetime(2017, 11, 30, 8, 30), 'amount': 10, 'filled': 10, 'price': 9775.3, 'direction': '1', 'offset': '0', 'offset_display': 'OPEN', 'order_status': ALLTRADED(2), 'status': 'all traded', 'limit': None, 'created': datetime.datetime(2017, 11, 30, 8, 30), 'name': ''}]","[{'symbol': 'BTCUSD', 'dt': datetime.datetime(2017, 11, 30, 15, 0), 'amount': 10, 'price': 9775.3, 'order_id': '201711290001', 'trade_id': '1', 'name': '', 'direction': '1', 'offset_display': 'OPEN', 'offset': '0', 'offset_flag': '0', 'transaction_money': 97753.0, 'commission': 195.51, 'realized_pnl': 0.0, 'multiplier': 1}]","[{'symbol': 'BTCUSD', 'direction': '1', 'current_qty': 10, 'amount': 10, 'open_price': 9794.850999999999, 'cost_price': 9794.851, 'last_price': 9775.3, 'last_sale_price': 9775.3, 'holding_pnl': -195.51, 'trading_day': '20171130', 'open_date': '20171130', 'market_value': 97753.0, 'sum_buy_value': 97753.0, 'sum_sell_value': 0.0, 'hold_days': 0, 'realized_pnl': 0.0, 'multiplier': 1, 'commission': 195.51, 'name': '', 'hold_percent': 0.97944}]",{},{'LOG': []},[],-0.011755427914710848
2017-12-01,3,101121.99,97753.0,99070.5,2051.49,2051.49,0.013200808901483289,0.011219900000000052,-0.01371973116565639,0.0,1317.5,99070.5,0.0,0.0,0.0,0,0,0,0,1.0,0.0,1,0,0.9797127212389708,0.9797127212389708,0.9797127212389708,0.0,0.0,0.0,0.0,0.0,"[{'id': '', 'order_time': '15:00:00', 'dt': datetime.datetime(2017, 12, 2, 15, 0), 'created': datetime.datetime(2017, 12, 1, 15, 0), 'symbol': 'BTCUSD', 'amount': -10, 'filled': 0, 'price': 9907.05, 'name': '', 'direction': '2', 'offset_display': 'CLOSE', 'offset': '1', 'order_status': GENERATED(10), 'status': 'not place', 'limit': None, 'multiplier': 1}]",[],"[{'symbol': 'BTCUSD', 'direction': '1', 'current_qty': 10, 'amount': 10, 'open_price': 9794.850999999999, 'cost_price': 9794.851, 'last_price': 9907.05, 'last_sale_price': 9907.05, 'holding_pnl': 1121.99, 'trading_day': '20171201', 'open_date': '20171130', 'market_value': 99070.5, 'sum_buy_value': 97753.0, 'sum_sell_value': 0.0, 'hold_days': 1, 'realized_pnl': 0.0, 'multiplier': 1, 'commission': 195.51, 'name': '', 'hold_percent': 0.97971}]",{},{'LOG': []},"[{'level': 'INFO', 'msg': 'order[15:00:00][id:,BTCUSD SELLCLOSE 10@9907.05, U]', 'dt': '2017-12-01 15:00:00'}]",-0.0019876691523846857
2017-12-02,4,110330.67,99070.5,0.0,2051.49,110330.67,0.09106505914292225,0.10330669999999999,-0.01371973116565639,0.0,9208.679999999993,0.0,0.0,0.0,0.0,0,1,1,0,1.0,0.0,1,1,0.0,0.0,0.0,108279.18,0.0,108605.0,325.82,0.0,"[{'symbol': 'BTCUSD', 'id': '201712010001', 'dt': datetime.datetime(2017, 12, 2, 8, 30), 'amount': -10, 'filled': -10, 'price': 10860.5, 'direction': '2', 'offset': '1', 'offset_display': 'CLOSE', 'order_status': ALLTRADED(2), 'status': 'all traded', 'limit': None, 'created': datetime.datetime(2017, 12, 2, 8, 30), 'name': ''}, {'id': '', 'order_time': '15:00:00', 'dt': datetime.datetime(2017, 12, 3, 15, 0), 'created': datetime.datetime(2017, 12, 2, 15, 0), 'symbol': 'BTCUSD', 'amount': 10, 'filled': 0, 'price': 10860.5, 'name': '', 'direction': '1', 'offset_display': 'OPEN', 'offset': '0', 'order_status': GENERATED(10), 'status': 'not place', 'limit': None, 'multiplier': 1}]","[{'symbol': 'BTCUSD', 'dt': datetime.datetime(2017, 12, 2, 15, 0), 'amount': -10, 'price': 10860.5, 'order_id': '201712010001', 'trade_id': '2', 'name': '', 'direction': '2', 'offset_display': 'CLOSE', 'offset': '1', 'offset_flag': '1', 'transaction_money': -108605.0, 'commission': 325.82, 'realized_pnl': 10656.49, 'multiplier': 1}]",[],{},{'LOG': []},"[{'level': 'INFO', 'msg': 'order[15:00:00][id:,BTCUSD BUYOPEN 10@10860.5, U]', 'dt': '2017-12-02 15:00:00'}]",0.0
2017-12-03,5,110113.14,0.0,108765.0,110330.67,1348.1399999999983,-0.0019716185898263723,0.1011314,-0.01371973116565639,0.0,-217.52999999999884,108765.0,0.0,0.0,0.0,0,1,0,0,1.0,0.0,2,1,0.9877567745320858,0.9877567745320858,0.9877567745320858,-108982.53,108765.0,0.0,217.53,0.0,"[{'symbol': 'BTCUSD', 'id': '201712020001', 'dt': datetime.datetime(2017, 12, 3, 8, 30), 'amount': 10, 'filled': 10, 'price': 10876.5, 'direction': '1', 'offset': '0', 'offset_display': 'OPEN', 'order_status': ALLTRADED(2), 'status': 'all traded', 'limit': None, 'created': datetime.datetime(2017, 12, 3, 8, 30), 'name': ''}, {'id': '', 'order_time': '15:00:00', 'dt': datetime.datetime(2017, 12, 4, 15, 0), 'created': datetime.datetime(2017, 12, 3, 15, 0), 'symbol': 'BTCUSD', 'amount': -10, 'filled': 0, 'price': 10876.5, 'name': '', 'direction': '2', 'offset_display': 'CLOSE', 'offset': '1', 'order_status': GENERATED(10), 'status': 'not place', 'limit': None, 'multiplier': 1}]","[{'symbol': 'BTCUSD', 'dt': datetime.datetime(2017, 12, 3, 15, 0), 'amount': 10, 'price': 10876.5, 'order_id': '201712020001', 'trade_id': '3', 'name': '', 'direction': '1', 'offset_display': 'OPEN', 'offset': '0', 'offset_flag': '0', 'transaction_money': 108765.0, 'commission': 217.53, 'realized_pnl': 0.0, 'multiplier': 1}]","[{'symbol': 'BTCUSD', 'direction': '1', 'current_qty': 10, 'amount': 10, 'open_price': 10898.253, 'cost_price': 10898.253, 'last_price': 10876.5, 'last_sale_price': 10876.5, 'holding_pnl': -217.53, 'trading_day': '20171203', 'open_date': '20171203', 'market_value': 108765.0, 'sum_buy_value': 108765.0, 'sum_sell_value': 0.0, 'hold_days': 0, 'realized_pnl': 0.0, 'multiplier': 1, 'commission': 217.53, 'name': '', 'hold_percent': 0.98776}]",{},{'LOG': []},"[{'level': 'INFO', 'msg': 'order[15:00:00][id:,BTCUSD SELLCLOSE 10@10876.5, U]', 'dt': '2017-12-03 15:00:00'}]",0.0
2017-12-04,6,112628.29,108765.0,0.0,1348.1399999999983,112628.29,0.02284150647234285,0.12628289999999995,-0.00860827012914378,0.0,2515.149999999994,0.0,0.0,0.0,0.0,0,1,1,0,1.0,0.0,2,2,0.0,0.0,0.0,111280.15,0.0,111615.0,334.85,0.0,"[{'symbol': 'BTCUSD', 'id': '201712030001', 'dt': datetime.datetime(2017, 12, 4, 8, 30), 'amount': -10, 'filled': -10, 'price': 11161.5, 'direction': '2', 'offset': '1', 'offset_display': 'CLOSE', 'order_status': ALLTRADED(2), 'status': 'all traded', 'limit': None, 'created': datetime.datetime(2017, 12, 4, 8, 30), 'name': ''}, {'id': '', 'order_time': '15:00:00', 'dt': datetime.datetime(2017, 12, 5, 15, 0), 'created': datetime.datetime(2017, 12, 4, 15, 0), 'symbol': 'BTCUSD', 'amount': 10, 'filled': 0, 'price': 11161.5, 'name': '', 'direction': '1', 'offset_display': 'OPEN', 'offset': '0', 'order_status': GENERATED(10), 'status': 'not place', 'limit': None, 'multiplier': 1}]","[{'symbol': 'BTCUSD', 'dt': datetime.datetime(2017, 12, 4, 15, 0), 'amount': -10, 'price': 11161.5, 'order_id': '201712030001', 'trade_id': '4', 'name': '', 'direction': '2', 'offset_display': 'CLOSE', 'offset': '1', 'offset_flag': '1', 'transaction_money': -111615.0, 'commission': 334.85, 'realized_pnl': 2632.47, 'multiplier': 1}]",[],{},{'LOG': []},"[{'level': 'INFO', 'msg': 'order[15:00:00][id:,BTCUSD BUYOPEN 10@11161.5, U]', 'dt': '2017-12-04 15:00:00'}]",0.005182564427202552
2017-12-05,7,112419.51999999999,0.0,104386.5,112628.29,8033.019999999993,-0.0018536195479839398,0.1241951999999999,-0.003350598898122392,0.0,-208.77000000000407,104386.5,0.0,0.0,0.0,0,1,0,0,1.0,0.0,3,2,0.9285442599292366,0.9285442599292366,0.9285442599292366,-104595.27,104386.5,0.0,208.77,0.0,"[{'symbol': 'BTCUSD', 'id': '201712040001', 'dt': datetime.datetime(2017, 12, 5, 8, 30), 'amount': 9, 'filled': 9, 'price': 11598.5, 'direction': '1', 'offset': '0', 'offset_display': 'OPEN', 'order_status': ALLTRADED(2), 'status': 'all traded', 'limit': None, 'created': datetime.datetime(2017, 12, 5, 8, 30), 'name': ''}, {'id': '', 'order_time': '15:00:00', 'dt': datetime.datetime(2017, 12, 6, 15, 0), 'created': datetime.datetime(2017, 12, 5, 15, 0), 'symbol': 'BTCUSD', 'amount': -9, 'filled': 0, 'price': 11598.5, 'name': '', 'direction': '2', 'offset_display': 'CLOSE', 'offset': '1', 'order_status': GENERATED(10), 'status': 'not place', 'limit': None, 'multiplier': 1}]","[{'symbol': 'BTCUSD', 'dt': datetime.datetime(2017, 12, 5, 15, 0), 'amount': 9, 'price': 11598.5, 'order_id': '201712040001', 'trade_id': '5', 'name': '', 'direction': '1', 'offset_display': 'OPEN', 'offset': '0', 'offset_flag': '0', 'transaction_money': 104386.5, 'commission': 208.77, 'realized_pnl': 0.0, 'multiplier': 1}]","[{'symbol': 'BTCUSD', 'direction': '1', 'current_qty': 9, 'amount': 9, 'open_price': 11621.696666666667, 'cost_price': 11621.696667, 'last_price': 11598.5, 'last_sale_price': 11598.5, 'holding_pnl': -208.77, 'trading_day': '20171205', 'open_date': '20171205', 'market_value': 104386.5, 'sum_buy_value': 104386.5, 'sum_sell_value': 0.0, 'hold_days': 0, 'realized_pnl': 0.0, 'multiplier': 1, 'commission': 208.77, 'name': '', 'hold_percent': 0.92854}]",{},{'LOG': []},"[{'level': 'INFO', 'msg': 'order[15:00:00][id:201712040001,BTCUSD adjust order_qty 10->9]'}, {'level': 'INFO', 'msg': 'order[15:00:00][id:,BTCUSD SELLCLOSE 9@11598.5, U]', 'dt': '2017-12-05 15:00:00'}]",0.005303323673787608
2017-12-06,8,112043.54999999999,104386.5,0.0,8033.019999999993,112043.54999999999,-0.0033443480278158204,0.12043549999999989,-0.009357205763577792,0.0,-375.97000000000116,0.0,0.0,0.0,0.0,0,1,0,1,0.666667,48.89781800787431,3,3,0.0,0.0,0.0,104010.53,0.0,104323.5,312.97,0.0,"[{'symbol': 'BTCUSD', 'id': '201712050001', 'dt': datetime.datetime(2017, 12, 6, 8, 30), 'amount': -9, 'filled': -9, 'price': 11591.5, 'direction': '2', 'offset': '1', 'offset_display': 'CLOSE', 'order_status': ALLTRADED(2), 'status': 'all traded', 'limit': None, 'created': datetime.datetime(2017, 12, 6, 8, 30), 'name': ''}, {'id': '', 'order_time': '15:00:00', 'dt': datetime.datetime(2017, 12, 7, 15, 0), 'created': datetime.datetime(2017, 12, 6, 15, 0), 'symbol': 'BTCUSD', 'amount': 9, 'filled': 0, 'price': 11591.5, 'name': '', 'direction': '1', 'offset_display': 'OPEN', 'offset': '0', 'order_status': GENERATED(10), 'status': 'not place', 'limit': None, 'multiplier': 1}]","[{'symbol': 'BTCUSD', 'dt': datetime.datetime(2017, 12, 6, 15, 0), 'amount': -9, 'price': 11591.5, 'order_id': '201712050001', 'trade_id': '6', 'name': '', 'direction': '2', 'offset_display': 'CLOSE', 'offset': '1', 'offset_flag': '1', 'transaction_money': -104323.5, 'commission': 312.97, 'realized_pnl': -271.77, 'multiplier': 1}]",[],{},{'LOG': []},"[{'level': 'INFO', 'msg': 'order[15:00:00][id:,BTCUSD BUYOPEN 9@11591.5, U]', 'dt': '2017-12-06 15:00:00'}]",-0.00602680025575153
2017-12-07,9,111827.41999999998,0.0,108064.0,112043.54999999999,3763.4199999999882,-0.0019289820788434915,0.11827419999999984,-0.02039986206362021,0.0,-216.13000000000466,108064.0,0.0,0.0,0.0,0,1,0,0,0.666667,48.89781800787431,4,3,0.9663461787815548,0.9663461787815548,0.9663461787815548,-108280.13,108064.0,0.0,216.13,0.0,"[{'symbol': 'BTCUSD', 'id': '201712060001', 'dt': datetime.datetime(2017, 12, 7, 8, 30), 'amount': 8, 'filled': 8, 'price': 13508.0, 'direction': '1', 'offset': '0', 'offset_display': 'OPEN', 'order_status': ALLTRADED(2), 'status': 'all traded', 'limit': None, 'created': datetime.datetime(2017, 12, 7, 8, 30), 'name': ''}, {'id': '', 'order_time': '15:00:00', 'dt': datetime.datetime(2017, 12, 8, 15, 0), 'created': datetime.datetime(2017, 12, 7, 15, 0), 'symbol': 'BTCUSD', 'amount': -8, 'filled': 0, 'price': 13508.0, 'name': '', 'direction': '2', 'offset_display': 'CLOSE', 'offset': '1', 'order_status': GENERATED(10), 'status': 'not place', 'limit': None, 'multiplier': 1}]","[{'symbol': 'BTCUSD', 'dt': datetime.datetime(2017, 12, 7, 15, 0), 'amount': 8, 'price': 13508.0, 'order_id': '201712060001', 'trade_id': '7', 'name': '', 'direction': '1', 'offset_display': 'OPEN', 'offset': '0', 'offset_flag': '0', 'transaction_money': 108064.0, 'commission': 216.13, 'realized_pnl': 0.0, 'multiplier': 1}]","[{'symbol': 'BTCUSD', 'direction': '1', 'current_qty': 8, 'amount': 8, 'open_price': 13535.01625, 'cost_price': 13535.01625, 'last_price': 13508.0, 'last_sale_price': 13508.0, 'holding_pnl': -216.13, 'trading_day': '20171207', 'open_date': '20171207', 'market_value': 108064.0, 'sum_buy_value': 108064.0, 'sum_sell_value': 0.0, 'hold_days': 0, 'realized_pnl': 0.0, 'multiplier': 1, 'commission': 216.13, 'name': '', 'hold_percent': 0.96635}]",{},{'LOG': []},"[{'level': 'INFO', 'msg': 'order[15:00:00][id:201712060001,BTCUSD adjust order_qty 9->8]'}, {'level': 'INFO', 'msg': 'order[15:00:00][id:,BTCUSD SELLCLOSE 8@13508.0, U]', 'dt': '2017-12-07 15:00:00'}]",-0.011146960704997544
2017-12-08,10,136244.77999999997,108064.0,0.0,3763.4199999999882,136244.77999999997,0.21834859464700151,0.3624477999999997,-0.012426435760304999,0.0,24417.359999999986,0.0,0.0,0.0,0.0,0,1,1,0,0.75,139.4150568495419,4,4,0.0,0.0,0.0,132481.36,0.0,132880.0,398.64,0.0,"[{'symbol': 'BTCUSD', 'id': '201712070001', 'dt': datetime.datetime(2017, 12, 8, 8, 30), 'amount': -8, 'filled': -8, 'price': 16610.0, 'direction': '2', 'offset': '1', 'offset_display': 'CLOSE', 'order_status': ALLTRADED(2), 'status': 'all traded', 'limit': None, 'created': datetime.datetime(2017, 12, 8, 8, 30), 'name': ''}]","[{'symbol': 'BTCUSD', 'dt': datetime.datetime(2017, 12, 8, 15, 0), 'amount': -8, 'price': 16610.0, 'order_id': '201712070001', 'trade_id': '8', 'name': '', 'direction': '2', 'offset_display': 'CLOSE', 'offset': '1', 'offset_flag': '1', 'transaction_money': -132880.0, 'commission': 398.64, 'realized_pnl': 24599.87, 'multiplier': 1}]",[],{},{'LOG': []},[],0.008139470376261837
