date,amount,price,symbol
2020-03-17,0.196,5027.1,BTC/USDT:USDT
2020-03-17,-0.196,5414.197469999999,BTC/USDT:USDT
2020-03-30,-0.181,6328.74279,BTC/USDT:USDT
2020-03-30,0.181,5876.3,BTC/USDT:USDT
2020-04-21,0.167,6825.3,BTC/USDT:USDT
2020-04-23,-0.167,7724.4,BTC/USDT:USDT
2020-04-28,0.166,7774.0,BTC/USDT:USDT
2020-04-29,-0.166,8898.8,BTC/USDT:USDT
2020-05-11,0.169,8723.2,BTC/USDT:USDT
2020-05-14,-0.169,9850.5,BTC/USDT:USDT
2020-05-26,0.186,8895.7,BTC/USDT:USDT
2020-05-30,-0.186,9655.5,BTC/USDT:USDT
2020-06-28,0.199,9008.0,BTC/USDT:USDT
2020-07-17,-0.199,9087.0,BTC/USDT:USDT
2020-09-04,0.177,10141.4,BTC/USDT:USDT
2020-09-15,-0.177,10729.895447723862,BTC/USDT:USDT
2020-09-24,0.185,10237.9,BTC/USDT:USDT
2020-09-29,-0.185,10831.99524762381,BTC/USDT:USDT
2020-11-17,0.119,16707.0,BTC/USDT:USDT
2020-11-18,-0.119,18334.8,BTC/USDT:USDT
2020-11-27,0.127,17155.4,BTC/USDT:USDT
2020-11-30,-0.127,19744.6,BTC/USDT:USDT
2020-12-16,-0.129,20920.6173,BTC/USDT:USDT
2020-12-16,0.129,19424.9,BTC/USDT:USDT
2020-12-25,0.113,23738.7,BTC/USDT:USDT
2020-12-26,-0.113,26656.8,BTC/USDT:USDT
2021-01-02,-0.103,31596.11055,BTC/USDT:USDT
2021-01-02,0.103,29337.1,BTC/USDT:USDT
2021-01-13,-0.095,36688.575809999995,BTC/USDT:USDT
2021-01-13,0.095,34065.5,BTC/USDT:USDT
2021-01-22,-0.113,33253.20429,BTC/USDT:USDT
2021-01-22,0.113,30875.8,BTC/USDT:USDT
2021-01-23,0.113,32990.1,BTC/USDT:USDT
2021-01-29,-0.113,34904.482991495744,BTC/USDT:USDT
2021-02-06,0.103,38357.2,BTC/USDT:USDT
2021-02-08,-0.103,46674.6,BTC/USDT:USDT
2021-02-16,0.099,47981.6,BTC/USDT:USDT
2021-02-17,-0.099,52272.0,BTC/USDT:USDT
2021-02-24,0.105,48930.0,BTC/USDT:USDT
2021-03-03,-0.105,51769.35967983992,BTC/USDT:USDT
2021-03-05,0.112,48385.8,BTC/USDT:USDT
2021-03-09,-0.112,54400.5,BTC/USDT:USDT
